"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BRITANNIA","EQ","14-Dec-2016","2,938.65","2,940.00","2,968.00","2,935.00","2,938.75","2,941.65","2,946.91","1,16,887","34,44,55,156.00","10,433","89,659","76.71"
"BRITANNIA","EQ","15-Dec-2016","2,941.65","2,932.00","2,954.00","2,907.50","2,912.00","2,920.20","2,921.06","1,08,279","31,62,89,995.70","15,120","70,319","64.94"
"BRITANNIA","EQ","16-Dec-2016","2,920.20","2,923.25","2,938.15","2,881.90","2,905.00","2,895.30","2,915.10","1,94,080","56,57,61,812.00","9,115","1,59,914","82.40"
"BRITANNIA","EQ","19-Dec-2016","2,895.30","2,900.00","2,914.75","2,865.50","2,895.15","2,899.60","2,893.41","1,10,005","31,82,90,072.95","9,851","81,699","74.27"
"BRITANNIA","EQ","20-Dec-2016","2,899.60","2,902.00","2,909.80","2,866.00","2,872.00","2,872.10","2,882.53","2,00,544","57,80,73,700.30","21,119","1,60,043","79.80"
"BRITANNIA","EQ","21-Dec-2016","2,872.10","2,872.10","2,899.00","2,827.80","2,851.00","2,847.70","2,847.20","2,00,871","57,19,20,291.65","14,401","1,48,073","73.72"
"BRITANNIA","EQ","22-Dec-2016","2,847.70","2,840.00","2,849.25","2,799.85","2,823.00","2,810.65","2,811.97","92,589","26,03,57,175.95","14,576","43,650","47.14"
"BRITANNIA","EQ","23-Dec-2016","2,810.65","2,810.05","2,841.15","2,772.85","2,834.00","2,831.20","2,810.92","91,370","25,68,34,003.25","13,123","55,722","60.99"
"BRITANNIA","EQ","26-Dec-2016","2,831.20","2,829.90","2,831.40","2,780.00","2,813.50","2,807.30","2,805.73","68,000","19,07,89,837.50","8,314","41,584","61.15"
"BRITANNIA","EQ","27-Dec-2016","2,807.30","2,810.25","2,856.85","2,781.55","2,821.95","2,826.85","2,824.84","78,676","22,22,46,837.65","11,720","34,630","44.02"
"BRITANNIA","EQ","28-Dec-2016","2,826.85","2,830.00","2,888.00","2,830.00","2,846.00","2,839.60","2,860.05","1,23,554","35,33,70,128.25","17,006","66,624","53.92"
"BRITANNIA","EQ","29-Dec-2016","2,839.60","2,835.00","2,898.00","2,828.90","2,877.40","2,883.15","2,866.23","90,143","25,83,70,568.80","8,816","51,788","57.45"
"BRITANNIA","EQ","30-Dec-2016","2,883.15","2,905.00","2,922.00","2,870.00","2,883.00","2,886.30","2,901.90","1,10,334","32,01,78,211.30","13,373","59,784","54.18"
